Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";3;10;kg;10;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";4;10;kg;10;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";1;20;kg;20;;;;0;"";;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";2;30;kg;12;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";3;30;kg;12;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";4;30;kg;12;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Sit Up";1;;;25;;;;0;"";;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Sit Up";2;10;kg;15;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Sit Up";3;10;kg;15;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Back Extension";1;;;15;;;;0;"";;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Back Extension";2;;;15;;;;0;;;1h 16m
2022-03-17 12:17:07;"Dorsali e Tricipiti";"Back Extension";3;;;15;;;;0;;;1h 16m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Leg Press";1;77;kg;20;;;;0;"";"Allenamento quadricipiti, quadricipite femorale, polpacci, glutei e deltoidi";1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Leg Press";2;101;kg;12;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Leg Press";3;101;kg;12;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Leg Press";4;101;kg;12;;;;0;;;1h 27m
